titolo,descrizione,path_immagine,link_articolo,data
Muore Gianni Rodari,"Muore Gianni Rodari, scrittore Italiano, specializzato in letteratura per l'infanzia. Viene ricoverato in clinica a Roma, per farsi operare a una gamba sinistra, dove muore quattro giorni per arresto cardiaco.
",https://biografieonline.it/img/bio/Gianni_Rodari_1.jpg,https://www.google.it/url?sa=i&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FGianni_Rodari&psig=AOvVaw16fOMG5o26TiLN93mJOllz&ust=1635763454804000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOjcgvG79PMCFQAAAAAdAAAAABAT,1980/04/14
Giornata mondiale contro la schiavitù infantile,"Il 16 aprile in tutto il mondo si celebra questa Giornata mondiale di riflessione sul lavoro minorile, vietato da più di un secolo ma ancor oggi praticato. Venne istituita nel 1995 dopo la morte di Iqbal Masih, un bambino pakistano di dodici anni operaio tessile, attivista e simbolo della lotta contro il lavoro minorile",https://www.lazione.it/var/azione/storage/images/attualita/oggi-la-giornata-mondiale-contro-la-schiavitu-infantile/2882728-1-ita-IT/Oggi-la-Giornata-mondiale-contro-la-schiavitu-infantile_articleimage.jpg,https://www.lazione.it/Attualita/Oggi-la-Giornata-mondiale-contro-la-schiavitu-infantile,1995/04/16
Giornata internazionale dei monumenti e dei siti.,"La Giornata internazionale dei monumenti e dei siti invita le comunità locali e gli individui di tutto il mondo a conoscere la straordinaria ricchezza e diversità del patrimonio culturale, a comprendere la sua importanza per la nostra identità e le nostre vite, ma anche a prendere consapevolezza della sua fragilità e dell’impegno collettivo che è necessario per proteggerlo e conservarlo.",https://lh3.googleusercontent.com/proxy/HHzYgvrkcVTbzX-wwGXDRGkAmTypXgWJQ8dP-NDL7RRtcb23Xbi9rtuKyqYIpDlAJ1_ffYdluslD-at6Ef38-OGyR9YHsJvHWso8I1QWnzXFKxcqHP0D,https://italiana.esteri.it/italiana/cultura/giornata-internazionale-dei-monumenti-e-dei-siti-2021/,1982/04/18
Viene inaugurato il primo Salone dell'automobile di Torino,"Si inaugura nella Palazzina delle Belle Arti al Valentino, il primo Salone dell'automobile di Torino. L'esposizione dura 3 giorni, dal 21 al 24 aprile e fu denominata Mostra di Automobili.",https://www.leomagazineofficial.it/wp-content/uploads/2020/04/Screenshot_20200420_105315.jpg,https://www.google.it/url?sa=i&url=https%3A%2F%2Fwww.leomagazineofficial.it%2F2020%2F04%2F20%2F21-aprile-1900-inaugurato-il-primo-salone-dellautomobile-di-torino%2F&psig=AOvVaw3-v0D2N4fpNt0jbWko8Y_B&ust=1635812583964000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCPi0tPTy9fMCFQAAAAAdAAAAABAD,1900/04/20
Ferrero produce il primo vasetto di Nutella,"Al 1964, quando Ferrero, un produttore piemontese, crea il primo vasetto di Nutella. Ci troviamo nel secondo dopoguerra ed il cacao era un prodotto che scarseggiava sul mercato. Così Ferrero, nel 1946, crea una ricetta antenata diretta della Nutella. Si tratta di una pasta dolce spalmabile, composta da: nocciole, zucchero e poco cacao. Ultimo è l’ultimo step prima del 20 aprile del 1964, quando Ferrero, giunge alla ricetta ottimale. Nasce la Nutella, con il primo vasetto messo sul mercato.",https://metropolitanmagazine.it/wp-content/uploads/2021/04/aabb.jpg,"https://metropolitanmagazine.it/ferrero-nel-1964-produce-il-primo-vasetto-di-nutella/#:~:text=Al%201964%2C%20quando%20Ferrero%2C%20un,ricetta%20antenata%20diretta%20della%20Nutella.",1964/04/20
"Seconda guerra mondiale: Bologna viene liberata dagli alleati
","ll 21 aprile 1945 nelle prime ore della mattina Bologna venne liberata, dopo che tedeschi e fascisti abbandonarono la città la notte precedente.",https://citynews-bolognatoday.stgy.ovh/~media/horizontal-hi/36728871693520/21aprile1945_550_liberazione_bologna-2.jpg,"https://www.bolognatoday.it/cronaca/liberazione-bologna-21-aprile-1945-sacrario.html#:~:text=Il%2021%20aprile%201945%20nelle,la%20citt%C3%A0%20la%20notte%20precedente.",1945/04/21
Calcio: la prima rovesciata della storia,"Il 24 aprile del 1932 nacque uno dei gesti tecnici più spettacolari di questo sport: la rovesciata. “Il padre” del capolavoro balistico che, da allora, non ha mai smesso di consegnare emozioni, ovazioni e stupore è un attaccante brasiliano di Rio de Janeiro, Leônidas da Silva che esattamente 82 anni fa, segnò colpendo il pallone in rovesciata, per la prima volta.",https://11contro11.it/calcio-prima-rovesciata-storia-risale-leonidas-1932/,https://th.bing.com/th/id/OIP.RDby8bd5Hm0dTQw2j268TQAAAA?w=214&h=180&c=7&r=0&o=5&pid=1.7,1932/04/24
"Genova, Milano e Torino vengono liberate dall'occupazione nazista.","Ogni anno ricorre in Italia la Festa della Liberazione. Questa è una data fondamentale della storia italiana, poiché coincide con la fine del ventennio fascista e la liberazione dai nazisti, avvenuta appunto il 25 Aprile 1945, insieme all’ epilogo della seconda guerra mondiale. E’ proprio in questa giornata che i partigiani liberano Genova, Milano e Torino dall’occupazione nazifascista ponendo fine all’occupazione tedesca in Italia. (forse hai fatto confusione tra il 14 e il 25 aprile)",https://verosimilmenteveroblog.altervista.org/wp-content/uploads/2017/04/liberazione.jpg,https://verosimilmenteveroblog.altervista.org/accadde-oggi-partigiani-liberano-genova-milano-torino-dai-nazifascisti-25-aprile-1945/?doing_wp_cron=1635726618.0443758964538574218750,1975/04/25
La fucilazione di Benito Mussolini e la compagna Clara Petacci,"Benito Mussolini e la compagna Clara Petacci vennero fucilati, catturati a Dongo. Il giorno successivo, i loro corpi vengono esposti a testa in giù in Piazzale Loreto a Milano.",https://upload.wikimedia.org/wikipedia/commons/c/c7/Mussolini_e_Petacci_a_Piazzale_Loreto%2C_1945.jpg,https://www.google.it/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fc%2Fc7%2FMussolini_e_Petacci_a_Piazzale_Loreto%252C_1945.jpg&imgrefurl=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FMorte_di_Benito_Mussolini&tbnid=pXUlqfn-cjcKFM&vet=12ahUKEwjB4NW79fXzAhUYgqQKHWRMBNkQMygAegQIARB6..i&docid=Nnuwe9hJLEhzAM&w=800&h=568&q=Benito%20Mussolini%20e%20la%20compagna%20Clara%20Petacci%20vengono%20fucilati.%20Il%20giorno%20successivo%2C%20i%20corpi%20vengono%20esposti%20a%20testa%20in%20gi%C3%B9%20in%20Piazzale%20Loreto%20a%20Milano.&ved=2ahUKEwjB4NW79fXzAhUYgqQKHWRMBNkQMygAegQIARB6,1945/04/28
Viene istituita la giornata mondiale della danza,"La Giornata Mondiale della Danza, promossa dall’Unesco, venne istituita nel 1982 dal Comitato Internazionale della Danza dell'Istituto Internazionale del Teatro e la data è stata scelta per commemorare la nascita di Jean-Georges Noverre, il più grande coreografo della sua epoca, nonché creatore del balletto moderno.",https://upload.wikimedia.org/wikipedia/commons/d/d3/Degas-_La_classe_de_danse_1874.jpg,https://www.google.it/url?sa=i&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FGiornata_internazionale_della_danza&psig=AOvVaw0j3Ea7Ws2AFsdMP9JQzQlF&ust=1635813426553000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKDm5If29fMCFQAAAAAdAAAAABAD,1982/04/29
Pavarotti debutta nella lirica,"Luciano Pavarotti debutta nella lirica. Nella primavera del 1961 viene scritturato per la parte di Rodolfo be La Boheme di Giacomo Puccini, sotto la direzione di Francesco Molinari Pradelli.",https://openmag.it/blog/2015/04/29/29-aprile-1961-pavarotti-debutta-nella-lirica/,https://www.lamiacittanews.it/wp-content/uploads/2021/04/GettyImages-139765056-691x388-1.jpg,1961/04/29
Siena conquista l'ultima Coppa Saporta,"La Coppa Saporta 2001-2002 di pallacanestro maschile, organizzata dalla FIBA Europe, è stata l'ultima edizione, perché dalla stagione seguente è nata l' Uleb Cup, che ha assorbito anche la Coppa Korac. La pallacanestro italiana è rappresentata dalle società di Siena e Udine.",https://it.wikipedia.org/wiki/Coppa_Saporta,https://th.bing.com/th/id/R.ad0322eb38c18079de40c69f251bfce4?rik=2Jj1frNKdsz3%2fg&pid=ImgRaw&r=0,2002/04/30
